dataset_id,date,value,sector,location
1,2024-01-01,620.6,commercial,Ohio
2,2024-01-02,707.2,commercial,Georgia
3,2024-01-03,816.3,industrial,New York
4,2024-01-04,616.4,commercial,Florida
5,2024-01-05,807.4,industrial,Georgia
6,2024-01-06,391.4,residential,Illinois
7,2024-01-07,914.5,industrial,Ohio
8,2024-01-08,713.0,industrial,New York
9,2024-01-09,683.7,commercial,New York
10,2024-01-10,667.1,commercial,Illinois
11,2024-01-11,962.3,industrial,Illinois
12,2024-01-12,479.0,residential,California
13,2024-01-13,890.0,industrial,Florida
14,2024-01-14,361.9,residential,Texas
15,2024-01-15,429.4,residential,Georgia
16,2024-01-16,422.9,residential,Texas
17,2024-01-17,665.1,commercial,Texas
18,2024-01-18,302.4,residential,Georgia
19,2024-01-19,386.5,residential,Florida
20,2024-01-20,347.4,residential,California
21,2024-01-21,620.9,commercial,Georgia
22,2024-01-22,537.6,residential,Texas
23,2024-01-23,778.2,industrial,Illinois
24,2024-01-24,416.4,residential,Ohio
25,2024-01-25,379.0,residential,Georgia
26,2024-01-26,817.9,industrial,Florida
27,2024-01-27,687.9,commercial,California
28,2024-01-28,870.8,industrial,Florida
29,2024-01-29,390.8,residential,Illinois
30,2024-01-30,356.8,residential,Ohio
31,2024-01-31,955.7,industrial,Illinois
32,2024-02-01,445.8,residential,New York
33,2024-02-02,837.4,industrial,California
34,2024-02-03,641.1,commercial,Texas
35,2024-02-04,757.9,commercial,Texas
36,2024-02-05,379.6,residential,Georgia
37,2024-02-06,617.5,commercial,Florida
38,2024-02-07,739.7,commercial,Ohio
39,2024-02-08,442.1,residential,California
40,2024-02-09,426.9,residential,Texas
41,2024-02-10,381.0,residential,Georgia
42,2024-02-11,957.1,industrial,Texas
43,2024-02-12,889.5,industrial,Florida
44,2024-02-13,726.8,commercial,Florida
45,2024-02-14,451.3,residential,Texas
46,2024-02-15,910.5,industrial,New York
47,2024-02-16,674.2,commercial,Texas
48,2024-02-17,790.0,industrial,New York
49,2024-02-18,855.6,industrial,Texas
50,2024-02-19,631.7,commercial,California
51,2024-02-20,692.7,commercial,California
52,2024-02-21,397.2,residential,New York
53,2024-02-22,417.8,residential,Georgia
54,2024-02-23,855.5,industrial,Georgia
55,2024-02-24,568.8,residential,Illinois
56,2024-02-25,598.8,commercial,Florida
57,2024-02-26,429.3,residential,Texas
58,2024-02-27,469.4,residential,California
59,2024-02-28,713.8,commercial,Georgia
60,2024-02-29,631.4,commercial,Illinois
61,2024-03-01,411.2,residential,New York
62,2024-03-02,447.2,residential,California
63,2024-03-03,352.8,residential,Illinois
64,2024-03-04,1005.5,industrial,Georgia
65,2024-03-05,437.2,residential,Georgia
66,2024-03-06,920.4,industrial,California
67,2024-03-07,657.5,commercial,Georgia
68,2024-03-08,860.0,industrial,Georgia
69,2024-03-09,690.3,commercial,Georgia
70,2024-03-10,692.3,commercial,Texas
71,2024-03-11,780.7,industrial,New York
72,2024-03-12,875.7,industrial,Georgia
73,2024-03-13,424.9,residential,Georgia
74,2024-03-14,387.1,residential,Georgia
75,2024-03-15,482.7,residential,Ohio
76,2024-03-16,363.6,residential,New York
77,2024-03-17,526.0,residential,Florida
78,2024-03-18,909.3,industrial,New York
79,2024-03-19,768.1,commercial,Texas
80,2024-03-20,461.9,residential,New York
81,2024-03-21,324.3,residential,Ohio
82,2024-03-22,871.6,industrial,California
83,2024-03-23,495.2,residential,Georgia
84,2024-03-24,964.8,industrial,New York
85,2024-03-25,583.1,commercial,Florida
86,2024-03-26,439.8,residential,New York
87,2024-03-27,397.1,residential,Georgia
88,2024-03-28,407.0,residential,Illinois
89,2024-03-29,966.5,industrial,Georgia
90,2024-03-30,902.3,industrial,Illinois
91,2024-03-31,1017.0,industrial,New York
92,2024-04-01,892.4,industrial,Illinois
93,2024-04-02,632.4,commercial,Ohio
